,cname,avgscrread,avgscreng,avgscrmath,avgscrsci,numtsttakr
1104,Colusa,19.0,18.0,19.0,20.0,26.0
1105,Del Norte,0.0,0.0,0.0,0.0,5.0
1106,Alameda,25.0,24.0,24.0,24.0,3630.0
1107,Placer,25.0,24.0,24.0,24.0,1292.0
1108,Mariposa,24.0,22.0,23.0,22.0,16.0
1109,Tulare,20.0,18.0,19.0,19.0,951.0
1110,Tehama,19.0,18.0,19.0,19.0,302.0
1111,Fresno,21.0,20.0,20.0,20.0,1805.0
1112,San Luis Obispo,24.0,23.0,23.0,23.0,570.0
1113,Monterey,20.0,19.0,20.0,20.0,1022.0
1114,Yolo,23.0,23.0,23.0,23.0,355.0
1115,Imperial,20.0,19.0,20.0,19.0,496.0
1116,Siskiyou,21.0,20.0,21.0,20.0,95.0
1117,Santa Clara,27.0,27.0,26.0,26.0,4228.0
1118,San Francisco,22.0,21.0,22.0,21.0,1078.0
1119,Merced,20.0,18.0,18.0,19.0,594.0
1120,Nevada,25.0,24.0,24.0,24.0,76.0
1121,Los Angeles,21.0,20.0,21.0,20.0,20678.0
1123,Alameda,27.0,26.0,26.0,25.0,155.0
1124,Alameda,28.0,27.0,27.0,26.0,58.0
1125,Alameda,26.0,25.0,25.0,24.0,227.0
1126,Alameda,26.0,25.0,25.0,25.0,106.0
1128,Alameda,29.0,30.0,30.0,29.0,511.0
1129,Alameda,19.0,19.0,19.0,19.0,256.0
1130,Alameda,26.0,25.0,25.0,25.0,249.0
1131,Alameda,22.0,22.0,22.0,22.0,31.0
1132,Alameda,24.0,23.0,24.0,24.0,132.0
1133,Alameda,19.0,18.0,19.0,19.0,809.0
1134,Alameda,30.0,31.0,29.0,29.0,116.0
1135,Alameda,22.0,21.0,21.0,22.0,78.0
1136,Alameda,21.0,21.0,21.0,21.0,189.0
1137,Alameda,28.0,28.0,28.0,27.0,216.0
1138,Alameda,29.0,29.0,28.0,28.0,476.0
1140,Amador,24.0,23.0,23.0,22.0,37.0
1141,Butte,0.0,0.0,0.0,0.0,10.0
1142,Butte,0.0,0.0,0.0,0.0,5.0
