,cname,pctbothbenchmark12,numtsttakr12
864,Sonoma,0.6589,129.0
865,Ventura,0.0,9.0
866,Stanislaus,0.24109999999999998,141.0
867,Alameda,0.4878,164.0
868,Los Angeles,0.3883,103.0
869,Orange,0.0,2.0
871,Stanislaus,0.331,142.0
872,Sacramento,0.6114999999999999,139.0
873,San Bernardino,0.2778,18.0
874,Yolo,0.8881,268.0
875,Santa Cruz,0.8111,90.0
876,Stanislaus,0.275,40.0
877,Yolo,0.41600000000000004,125.0
878,Yolo,0.3776,98.0
879,Alameda,0.6042000000000001,48.0
880,Imperial,0.10529999999999999,19.0
881,Inyo,0.0,2.0
882,Kern,0.1881,101.0
883,Los Angeles,0.11560000000000001,199.0
884,Orange,0.8881,286.0
887,Santa Barbara,0.4789,142.0
888,Yuba,0.0,6.0
889,Alameda,0.875,32.0
890,Kern,0.6299,127.0
891,Kern,0.2256,133.0
892,Los Angeles,0.375,264.0
893,Los Angeles,0.3496,266.0
894,Los Angeles,0.6683,208.0
895,San Bernardino,0.5963,109.0
896,San Bernardino,0.0,1.0
897,El Dorado,0.6349,63.0
898,El Dorado,0.7826000000000001,138.0
899,El Dorado,0.5185,54.0
900,Merced,0.1522,46.0
901,Orange,0.4022,92.0
902,Contra Costa,0.2,110.0
903,Kings,0.127,63.0
